symbol,regime,num_runs,mean_len,p50_len,p90_len,max_len
DOT_x2,Sell-off / drawdown,41,1.3414634146341464,1,2,3
DOT_x3,Blow-off rally / parabolic,39,1.1025641025641026,1,2,2
DOT_x3,Bull impulse,8,1.375,1,3,3
DOT_x3,Calm / normal,37,2.2972972972972974,2,4,9
DOT_x3,Choppy high-vol sideways,41,2.7560975609756095,2,6,14
DOT_x3,Sell-off / drawdown,41,1.3414634146341464,1,2,3
DOT_x4,Blow-off rally / parabolic,39,1.1025641025641026,1,2,2
DOT_x4,Bull impulse,8,1.375,1,3,3
DOT_x4,Calm / normal,37,2.2972972972972974,2,4,9
DOT_x4,Choppy high-vol sideways,41,2.7560975609756095,2,6,14
DOT_x4,Sell-off / drawdown,41,1.3414634146341464,1,2,3
EOS,Blow-off rally / parabolic,155,1.167741935483871,1,2,3
EOS,Bull impulse,16,2.4375,1,5,9
EOS,Calm / normal,148,3.72972972972973,2,9,16
EOS,Choppy high-vol sideways,153,2.8823529411764706,2,7,12
EOS,Sell-off / drawdown,185,1.2972972972972974,1,2,6
EOS_x1,Blow-off rally / parabolic,155,1.167741935483871,1,2,3
EOS_x1,Bull impulse,16,2.4375,1,5,9
EOS_x1,Calm / normal,148,3.72972972972973,2,9,16
EOS_x1,Choppy high-vol sideways,153,2.8823529411764706,2,7,12
EOS_x1,Sell-off / drawdown,185,1.2972972972972974,1,2,6
EOS_x2,Blow-off rally / parabolic,155,1.167741935483871,1,2,3
EOS_x2,Bull impulse,16,2.4375,1,5,9
EOS_x2,Calm / normal,148,3.72972972972973,2,9,16
EOS_x2,Choppy high-vol sideways,153,2.8823529411764706,2,7,12
EOS_x2,Sell-off / drawdown,185,1.2972972972972974,1,2,6
EOS_x3,Blow-off rally / parabolic,155,1.167741935483871,1,2,3
EOS_x3,Bull impulse,16,2.4375,1,5,9
EOS_x3,Calm / normal,148,3.72972972972973,2,9,16
EOS_x3,Choppy high-vol sideways,153,2.8823529411764706,2,7,12
EOS_x3,Sell-off / drawdown,185,1.2972972972972974,1,2,6
EOS_x4,Blow-off rally / parabolic,155,1.167741935483871,1,2,3
EOS_x4,Bull impulse,16,2.4375,1,5,9
EOS_x4,Calm / normal,148,3.72972972972973,2,9,16
EOS_x4,Choppy high-vol sideways,153,2.8823529411764706,2,7,12
EOS_x4,Sell-off / drawdown,185,1.2972972972972974,1,2,6
ETH,Blow-off rally / parabolic,273,1.2564102564102564,1,2,4
ETH,Bull impulse,18,2.5,2,5,5
ETH,Calm / normal,275,3.730909090909091,2,9,27
ETH,Choppy high-vol sideways,174,2.4367816091954024,2,5,10
ETH,Sell-off / drawdown,236,1.3093220338983051,1,2,6
ETH_x1,Blow-off rally / parabolic,273,1.2564102564102564,1,2,4
ETH_x1,Bull impulse,18,2.5,2,5,5
ETH_x1,Calm / normal,275,3.730909090909091,2,9,27
ETH_x1,Choppy high-vol sideways,174,2.4367816091954024,2,5,10
ETH_x1,Sell-off / drawdown,236,1.3093220338983051,1,2,6
ETH_x2,Blow-off rally / parabolic,273,1.2564102564102564,1,2,4
ETH_x2,Bull impulse,18,2.5,2,5,5
ETH_x2,Calm / normal,275,3.730909090909091,2,9,27
ETH_x2,Choppy high-vol sideways,174,2.4367816091954024,2,5,10
ETH_x2,Sell-off / drawdown,236,1.3093220338983051,1,2,6
ETH_x3,Blow-off rally / parabolic,273,1.2564102564102564,1,2,4
ETH_x3,Bull impulse,18,2.5,2,5,5
ETH_x3,Calm / normal,275,3.730909090909091,2,9,27
ETH_x3,Choppy high-vol sideways,174,2.4367816091954024,2,5,10
ETH_x3,Sell-off / drawdown,236,1.3093220338983051,1,2,6
ETH_x4,Blow-off rally / parabolic,273,1.2564102564102564,1,2,4
ETH_x4,Bull impulse,18,2.5,2,5,5
ETH_x4,Calm / normal,275,3.730909090909091,2,9,27
ETH_x4,Choppy high-vol sideways,174,2.4367816091954024,2,5,10
ETH_x4,Sell-off / drawdown,236,1.3093220338983051,1,2,6
LINK,Blow-off rally / parabolic,169,1.2958579881656804,1,2,4
LINK,Bull impulse,23,1.7391304347826086,1,4,6
LINK,Calm / normal,112,2.9642857142857144,2,7,15
LINK,Choppy high-vol sideways,200,2.61,2,5,14
LINK,Sell-off / drawdown,203,1.2758620689655173,1,2,4
LINK_x1,Blow-off rally / parabolic,169,1.2958579881656804,1,2,4
LINK_x1,Bull impulse,23,1.7391304347826086,1,4,6
LINK_x1,Calm / normal,112,2.9642857142857144,2,7,15
LINK_x1,Choppy high-vol sideways,200,2.61,2,5,14
LINK_x1,Sell-off / drawdown,203,1.2758620689655173,1,2,4
LINK_x2,Blow-off rally / parabolic,169,1.2958579881656804,1,2,4
LINK_x2,Bull impulse,23,1.7391304347826086,1,4,6
LINK_x2,Calm / normal,112,2.9642857142857144,2,7,15
LINK_x2,Choppy high-vol sideways,200,2.61,2,5,14
LINK_x2,Sell-off / drawdown,203,1.2758620689655173,1,2,4
LINK_x3,Blow-off rally / parabolic,169,1.2958579881656804,1,2,4
LINK_x3,Bull impulse,23,1.7391304347826086,1,4,6
LINK_x3,Calm / normal,112,2.9642857142857144,2,7,15
LINK_x3,Choppy high-vol sideways,200,2.61,2,5,14
LINK_x3,Sell-off / drawdown,203,1.2758620689655173,1,2,4
LINK_x4,Blow-off rally / parabolic,169,1.2958579881656804,1,2,4
LINK_x4,Bull impulse,23,1.7391304347826086,1,4,6
LINK_x4,Calm / normal,112,2.9642857142857144,2,7,15
LINK_x4,Choppy high-vol sideways,200,2.61,2,5,14
LINK_x4,Sell-off / drawdown,203,1.2758620689655173,1,2,4
LTC,Blow-off rally / parabolic,307,1.231270358306189,1,2,4
LTC,Bull impulse,16,3.25,1,9,17
LTC,Calm / normal,344,4.912790697674419,3,12,35
LTC,Choppy high-vol sideways,195,2.41025641025641,2,5,15
LTC,Sell-off / drawdown,305,1.2721311475409836,1,2,4
LTC_x1,Blow-off rally / parabolic,307,1.231270358306189,1,2,4
LTC_x1,Bull impulse,16,3.25,1,9,17
LTC_x1,Calm / normal,344,4.912790697674419,3,12,35
LTC_x1,Choppy high-vol sideways,195,2.41025641025641,2,5,15
LTC_x1,Sell-off / drawdown,305,1.2721311475409836,1,2,4
LTC_x2,Blow-off rally / parabolic,307,1.231270358306189,1,2,4
LTC_x2,Bull impulse,16,3.25,1,9,17
LTC_x2,Calm / normal,344,4.912790697674419,3,12,35
LTC_x2,Choppy high-vol sideways,195,2.41025641025641,2,5,15
LTC_x2,Sell-off / drawdown,305,1.2721311475409836,1,2,4
LTC_x3,Blow-off rally / parabolic,307,1.231270358306189,1,2,4
LTC_x3,Bull impulse,16,3.25,1,9,17
LTC_x3,Calm / normal,344,4.912790697674419,3,12,35
LTC_x3,Choppy high-vol sideways,195,2.41025641025641,2,5,15
LTC_x3,Sell-off / drawdown,305,1.2721311475409836,1,2,4
LTC_x4,Blow-off rally / parabolic,307,1.231270358306189,1,2,4
LTC_x4,Bull impulse,16,3.25,1,9,17
LTC_x4,Calm / normal,344,4.912790697674419,3,12,35
LTC_x4,Choppy high-vol sideways,195,2.41025641025641,2,5,15
LTC_x4,Sell-off / drawdown,305,1.2721311475409836,1,2,4
MIOTA,Blow-off rally / parabolic,146,1.2534246575342465,1,2,4
MIOTA,Bull impulse,15,2.933333333333333,2,7,14
MIOTA,Calm / normal,125,4.296,3,9,26
MIOTA,Choppy high-vol sideways,168,2.6845238095238093,2,6,14
MIOTA,Sell-off / drawdown,193,1.3264248704663213,1,2,4
MIOTA_x1,Blow-off rally / parabolic,146,1.2534246575342465,1,2,4
MIOTA_x1,Bull impulse,15,2.933333333333333,2,7,14
MIOTA_x1,Calm / normal,125,4.296,3,9,26
MIOTA_x1,Choppy high-vol sideways,168,2.6845238095238093,2,6,14
MIOTA_x1,Sell-off / drawdown,193,1.3264248704663213,1,2,4
MIOTA_x2,Blow-off rally / parabolic,146,1.2534246575342465,1,2,4
MIOTA_x2,Bull impulse,15,2.933333333333333,2,7,14
MIOTA_x2,Calm / normal,125,4.296,3,9,26
MIOTA_x2,Choppy high-vol sideways,168,2.6845238095238093,2,6,14
MIOTA_x2,Sell-off / drawdown,193,1.3264248704663213,1,2,4
MIOTA_x3,Blow-off rally / parabolic,146,1.2534246575342465,1,2,4
MIOTA_x3,Bull impulse,15,2.933333333333333,2,7,14
MIOTA_x3,Calm / normal,125,4.296,3,9,26
MIOTA_x3,Choppy high-vol sideways,168,2.6845238095238093,2,6,14
MIOTA_x3,Sell-off / drawdown,193,1.3264248704663213,1,2,4
MIOTA_x4,Blow-off rally / parabolic,146,1.2534246575342465,1,2,4
MIOTA_x4,Bull impulse,15,2.933333333333333,2,7,14
MIOTA_x4,Calm / normal,125,4.296,3,9,26
MIOTA_x4,Choppy high-vol sideways,168,2.6845238095238093,2,6,14
MIOTA_x4,Sell-off / drawdown,193,1.3264248704663213,1,2,4
SOL,Blow-off rally / parabolic,47,1.2340425531914894,1,2,4
SOL,Bull impulse,15,2.2666666666666666,1,4,6
SOL,Calm / normal,17,1.411764705882353,1,3,4
SOL,Choppy high-vol sideways,78,3.2051282051282053,2,8,18
SOL,Sell-off / drawdown,54,1.3518518518518519,1,2,3
SOL_x1,Blow-off rally / parabolic,47,1.2340425531914894,1,2,4
SOL_x1,Bull impulse,15,2.2666666666666666,1,4,6
SOL_x1,Calm / normal,17,1.411764705882353,1,3,4
SOL_x1,Choppy high-vol sideways,78,3.2051282051282053,2,8,18
SOL_x1,Sell-off / drawdown,54,1.3518518518518519,1,2,3
SOL_x2,Blow-off rally / parabolic,47,1.2340425531914894,1,2,4
SOL_x2,Bull impulse,15,2.2666666666666666,1,4,6
SOL_x2,Calm / normal,17,1.411764705882353,1,3,4
SOL_x2,Choppy high-vol sideways,78,3.2051282051282053,2,8,18
SOL_x2,Sell-off / drawdown,54,1.3518518518518519,1,2,3
SOL_x3,Blow-off rally / parabolic,47,1.2340425531914894,1,2,4
SOL_x3,Bull impulse,15,2.2666666666666666,1,4,6
SOL_x3,Calm / normal,17,1.411764705882353,1,3,4
SOL_x3,Choppy high-vol sideways,78,3.2051282051282053,2,8,18
SOL_x3,Sell-off / drawdown,54,1.3518518518518519,1,2,3
SOL_x4,Blow-off rally / parabolic,47,1.2340425531914894,1,2,4
SOL_x4,Bull impulse,15,2.2666666666666666,1,4,6
SOL_x4,Calm / normal,17,1.411764705882353,1,3,4
SOL_x4,Choppy high-vol sideways,78,3.2051282051282053,2,8,18
SOL_x4,Sell-off / drawdown,54,1.3518518518518519,1,2,3
TRX,Blow-off rally / parabolic,139,1.3021582733812949,1,2,6
TRX,Bull impulse,17,2.7058823529411766,1,8,17
TRX,Calm / normal,123,4.2439024390243905,3,9,29
TRX,Choppy high-vol sideways,162,2.4382716049382718,2,5,13
TRX,Sell-off / drawdown,189,1.2433862433862435,1,2,6
TRX_x1,Blow-off rally / parabolic,139,1.3021582733812949,1,2,6
TRX_x1,Bull impulse,17,2.7058823529411766,1,8,17
TRX_x1,Calm / normal,123,4.2439024390243905,3,9,29
