symbol,transition,n,mean_ret_fwd1,median_ret_fwd1,std_ret_fwd1,hit_rate_fwd1,sharpe_d_fwd1
XRP,Blow-off rally / parabolic → Choppy high-vol sideways,52,-0.02020253420721368,-0.008827094195688612,0.053258597988127945,0.3269230769230769,-0.3793290655476341
DOT,Blow-off rally / parabolic → Sell-off / drawdown,3,0.03167156206601137,0.030216558122873494,0.052673590459465756,0.6666666666666666,0.6012797265146334
AAVE,Blow-off rally / parabolic → Sell-off / drawdown,6,0.026476914576929616,0.021410654728161838,0.03337779309761364,0.8333333333333334,0.7932494068585557
SOL,Blow-off rally / parabolic → Sell-off / drawdown,13,0.01931518705856366,0.044903117570061324,0.09482964742841106,0.5384615384615384,0.20368299980388632
UNI,Blow-off rally / parabolic → Sell-off / drawdown,8,0.013640640493606013,-4.287164750067518E-4,0.07469377498720861,0.5,0.18262084753303723
LINK,Blow-off rally / parabolic → Sell-off / drawdown,42,0.012535750566627193,0.013635284083840737,0.06162272660794683,0.5714285714285714,0.20342739207860028
XEM,Blow-off rally / parabolic → Sell-off / drawdown,67,0.011823812702044596,0.006447577556656592,0.05793970461539587,0.5671641791044776,0.2040709869083928
BNB,Blow-off rally / parabolic → Sell-off / drawdown,23,0.009914457981073562,0.015491221299118063,0.05335280247132612,0.6086956521739131,0.18582825122264157
ATOM,Blow-off rally / parabolic → Sell-off / drawdown,26,0.00934148300886775,0.009521146248160361,0.07004089155965003,0.5384615384615384,0.13337184608668373
WBTC,Blow-off rally / parabolic → Sell-off / drawdown,9,0.004675528346456422,0.008415875199178302,0.052435730254919904,0.5555555555555556,0.0891668395524582
ETH,Blow-off rally / parabolic → Sell-off / drawdown,43,0.002094765768215775,0.011254211228587163,0.0545752282614849,0.6046511627906976,0.03838308761951809
LTC,Blow-off rally / parabolic → Sell-off / drawdown,55,6.867389339233073E-4,0.005643555321670268,0.045088634419192086,0.5818181818181818,0.015230865666470377
XLM,Blow-off rally / parabolic → Sell-off / drawdown,62,3.2365424835945244E-5,0.0014851483345488248,0.04851252778002349,0.532258064516129,6.671560175693977E-4
